Event Code,Event Message,Associated Object ID,Notes,Parent Code,Parent,Event Name
CONN-1,Connection configuration created successfully,The affected connection ID.,--,CONN,SAML CONNECTION,Connection configuration created successfully
CONN-2,Connection configuration updated successfully,The affected connection ID.,--,CONN,SAML CONNECTION,Connection configuration updated successfully
CONN-3,Connection configuration deleted successfully,The affected connection ID.,--,CONN,SAML CONNECTION,Connection configuration deleted successfully
CONN-4,Workspace associated with connection configuration successfully,The affected connection ID.,Workspace is associated with a connection configuration.,CONN,SAML CONNECTION,CONN-4
CONN-5,Workspace to connection configuration deleted successfully,The affected connection ID.,Workspace to connection configuration association was deleted.,CONN,SAML CONNECTION,Workspace to connection configuration deleted successfully
CONN-6,Connection migrated successfully,The affected connection ID.,--,CONN,SAML CONNECTION,Connection migrated successfully
CONN-7,Connection migration rolled back successfully,The affected connection ID.,--,CONN,SAML CONNECTION,Connection migration rolled back successfully
AUTHZ-0,Authorization failure,N/A,Unauthorized entry attempt events are only logged when an unauthorized status is triggered without an authorization granted status.,AUTHZ,ACCESS CONTROL,Authorization failure
AUTHZ-1,Access granted,The associated user ID.,Role ID and Role Name surface in additional attributes.,AUTHZ,ACCESS CONTROL,Access granted
AUTHZ-2,Access denied,The associated user ID.,Role ID and Role Name surface in additional attributes.,AUTHZ,ACCESS CONTROL,Access denied
AUTHZ-3,Role assigned,The user ID on which the role assignment was performed.,Role ID and Role Name surface in additional attributes.,AUTHZ,ACCESS CONTROL,Role assigned
AUTHZ-4,Role assignment denied,The user ID on which the role assignment was performed.,Role ID and Role Name surface in additional attributes.,AUTHZ,ACCESS CONTROL,Role assignment denied
AUTHZ-6,Role unassigned,The user ID on which the role unassignment was performed.,Role ID and Role Name surface in additional attributes.,AUTHZ,ACCESS CONTROL,Role unassigned
AUTHZ-7,Role unassignment denied,The user ID on which the role unassignment was performed.,Role ID and Role Name surface in additional attributes.,AUTHZ,ACCESS CONTROL,Role unassignment denied
AUTHZ-11,Access control event (message pending Anaplan documentation),N/A,Code present in API responses; message not yet published by Anaplan.,AUTHZ,ACCESS CONTROL,Access control event (message pending Anaplan documentation)
AUTHZ-17,Access control event (message pending Anaplan documentation),N/A,Code present in API responses; message not yet published by Anaplan.,AUTHZ,ACCESS CONTROL,AUTHZ-17
USR-1,User created,The ID of the created user.,(In Anaplan),USR,USER ACTIVITY,User created
USR-2,User activated,The ID of the activated user.,(In Anaplan),USR,USER ACTIVITY,User activated
USR-3,User enabled,The associated user ID.,(In the tenant),USR,USER ACTIVITY,User enabled
USR-4,User disabled,The associated user ID.,(In the tenant),USR,USER ACTIVITY,User disabled
USR-5,User updated,The ID of the updated user.,--,USR,USER ACTIVITY,User updated
USR-8,User login success,The ID associated with the user login.,--,USR,USER ACTIVITY,User login success
USR-9,User login failure,The ID associated with the user login.,--,USR,USER ACTIVITY,User login failure
USR-10,User logout success,The ID associated with the user logout.,--,USR,USER ACTIVITY,User logout success
USR-11,User logout failure,The ID associated with the user logout.,--,USR,USER ACTIVITY,User logout failure
USR-12,User session time-out,The ID associated with the user who timed out.,--,USR,USER ACTIVITY,User session time-out
USR-13,"User access to model, success",The associated model ID.,"Opens a model in Manage Models, opens a bookmarked model, selects a model name in Home/Administration, or navigates to the source model in the UX. ipAddress=NA on this event.",USR,USER ACTIVITY,"User access to model, success"
USR-14,User access-to-model failure,The associated model ID.,Failed access via the same paths as USR-13. userAgent=NA on this event.,USR,USER ACTIVITY,User access-to-model failure
USR-15,User assigned to tenant success,The associated user ID.,--,USR,USER ACTIVITY,User assigned to tenant success
USR-16,User assigned to tenant failure,The associated user ID.,--,USR,USER ACTIVITY,User assigned to tenant failure
USR-17,User removed from tenant success,The associated user ID.,--,USR,USER ACTIVITY,User removed from tenant success
USR-18,User removed from tenant failure,The associated user ID.,--,USR,USER ACTIVITY,User removed from tenant failure
USR-19,User accessed dashboard,The associated model ID.,--,USR,USER ACTIVITY,User accessed dashboard
USR-20,User executed action,The associated model ID.,--,USR,USER ACTIVITY,User executed action
USR-21,User added to workspace,The ID of the added user.,--,USR,USER ACTIVITY,User added to workspace
USR-22,User removed from workspace,The ID of the removed user.,--,USR,USER ACTIVITY,User removed from workspace
USR-23,User assigned to a model role,The ID of the user assigned the model role.,Includes the No Access role. Assignments and removals of No Access are recorded.,USR,USER ACTIVITY,User assigned to a model role
USR-24,User unassigned from a model role,The ID of the user unassigned from a role.,Includes the No Access role. Assignments and removals of No Access are recorded.,USR,USER ACTIVITY,User unassigned from a model role
USR-25,User assigned or unassigned the Workspace Administrator role,The ID associated with the user whose role has changed.,Records assignment or removal of the Workspace Administrator role.,USR,USER ACTIVITY,User assigned or unassigned the Workspace Administrator role
USR-26,User email updated,The associated user ID.,--,USR,USER ACTIVITY,User email updated
USR-27,User first name updated,The associated user ID.,--,USR,USER ACTIVITY,User first name updated
USR-28,User last name updated,The associated user ID.,--,USR,USER ACTIVITY,User last name updated
USR-29,User deleted,The associated user ID.,--,USR,USER ACTIVITY,User deleted
USR-30,Visitor added to workspace,The ID of the added visiting user.,--,USR,USER ACTIVITY,Visitor added to workspace
USR-31,Visitor removed from workspace,The ID of the removed visiting user.,--,USR,USER ACTIVITY,Visitor removed from workspace
USR-32,Miscellaneous Data Export,The associated model ID.,"Formerly ""Ad Hoc Data Export"" in earlier releases.",USR,USER ACTIVITY,Miscellaneous Data Export
USR-33,Assign,The associated model ID.,An object associated to a corresponding list.,USR,USER ACTIVITY,Assign
USR-34,Copy branch,The associated model ID.,--,USR,USER ACTIVITY,Copy branch
USR-35,Create,The associated model ID.,A create action was made.,USR,USER ACTIVITY,Create
USR-36,Data export from action,The associated model ID.,(Within Anaplan),USR,USER ACTIVITY,Data export from action
USR-38,Delete from list using Selection action has been executed,The associated model ID.,--,USR,USER ACTIVITY,Delete from list using Selection action has been executed
USR-39,Model imported via Manage models,The associated model ID.,--,USR,USER ACTIVITY,Model imported via Manage models
USR-40,An executed optimizer action,The associated model ID.,--,USR,USER ACTIVITY,An executed optimizer action
USR-41,A process action has been executed,The associated process ID.,--,USR,USER ACTIVITY,A process action has been executed
USR-42,Line Items updated from an import,The associated model ID.,--,USR,USER ACTIVITY,Line Items updated from an import
USR-43,UX board page opened,UX App GUID and UX Page GUID.,"Both display separated by ""/"".",USR,USER ACTIVITY,UX board page opened
USR-44,UX worksheet page opened,UX App GUID and UX Page GUID.,"Both display separated by ""/"".",USR,USER ACTIVITY,UX worksheet page opened
USR-45,UX report page opened,UX App GUID and UX Page GUID.,"Both display separated by ""/"".",USR,USER ACTIVITY,UX report page opened
USR-46,"UX board ""My Page"" opened",UX App GUID and UX Page GUID.,UX App GUID displays as null.,USR,USER ACTIVITY,"UX board ""My Page"" opened"
USR-47,"UX worksheet ""My Page"" opened",UX App GUID and UX Page GUID.,UX App GUID displays as null.,USR,USER ACTIVITY,"UX worksheet ""My Page"" opened"
USR-48,UX app opened,UX App GUID.,--,USR,USER ACTIVITY,UX app opened
USR-49,UX page model changed,Not applicable.,--,USR,USER ACTIVITY,UX page model changed
USR-50,Users updated from an import,The associated model ID.,--,USR,USER ACTIVITY,Users updated from an import
USR-51,List items updated from an import,The associated model ID.,--,USR,USER ACTIVITY,List items updated from an import
USR-52,Module data updated from an import,The associated model ID.,--,USR,USER ACTIVITY,Module data updated from an import
USR-53,Versions items updated from an import,The associated model ID.,--,USR,USER ACTIVITY,Versions items updated from an import
USR-54,Model updated from an import,The associated model ID.,--,USR,USER ACTIVITY,Model updated from an import
USR-55,User password change,The associated user ID.,--,USR,USER ACTIVITY,User password change
USR-56,User password change failure,The associated user ID.,--,USR,USER ACTIVITY,User password change failure
USR-57,User granted Exception access.,The associated user ID.,--,USR,USER ACTIVITY,User granted Exception access.
USR-58,Revocation of Exception access.,The associated user ID.,--,USR,USER ACTIVITY,Revocation of Exception access.
USR-59,UX board page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.,USR,USER ACTIVITY,UX board page published
USR-60,UX worksheet page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.,USR,USER ACTIVITY,UX worksheet page published
USR-61,UX report page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.,USR,USER ACTIVITY,UX report page published
USR-62,UX board My page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.,USR,USER ACTIVITY,UX board My page published
USR-63,UX worksheet My page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.,USR,USER ACTIVITY,UX worksheet My page published
USR-65,User submitted question,UX App GUID.,--,USR,USER ACTIVITY,User submitted question
USR-71,Successful import of IP list,Not applicable.,--,USR,USER ACTIVITY,Successful import of IP list
USR-72,Failed import of IP list,Not applicable.,--,USR,USER ACTIVITY,Failed import of IP list
USR-73,Successful export of IP list,Not applicable.,--,USR,USER ACTIVITY,Successful export of IP list
USR-74,Failed export of IP list,Not applicable.,--,USR,USER ACTIVITY,Failed export of IP list
USR-75,User activity event (message pending Anaplan documentation),N/A,Code present in API responses; message not yet published by Anaplan.,USR,USER ACTIVITY,User activity event (message pending Anaplan documentation)
USR-81,User activity event (message pending Anaplan documentation),N/A,Code present in API responses; message not yet published by Anaplan.,USR,USER ACTIVITY,USR-81
USR-82,User activity event (message pending Anaplan documentation),N/A,Code present in API responses; message not yet published by Anaplan.,USR,USER ACTIVITY,USR-82
USR-83,User activity event (message pending Anaplan documentation),N/A,Code present in API responses; message not yet published by Anaplan.,USR,USER ACTIVITY,USR-83
COMMENT-01,Comment added,N/A,Comment events have no associated object ID.,COMMENT,COMMENT,Comment added
COMMENT-02,Comment deleted,N/A,Comment events have no associated object ID.,COMMENT,COMMENT,Comment deleted
COMMENT-03,Comments exported,N/A,Comment events have no associated object ID.,COMMENT,COMMENT,Comments exported
INT-01,Connection creation,The associated integration ID.,CloudWorks,INT,INTEGRATION,Connection creation
INT-02,Connection deletion,The associated integration ID.,CloudWorks,INT,INTEGRATION,Connection deletion
INT-03,Connection update,The associated integration ID.,CloudWorks,INT,INTEGRATION,Connection update
INT-04,Data Integration update,The associated integration ID.,CloudWorks,INT,INTEGRATION,Data Integration update
INT-05,Data Integration creation,The associated integration ID.,CloudWorks,INT,INTEGRATION,Data Integration creation
INT-06,Data Integration execution,The associated integration ID.,CloudWorks,INT,INTEGRATION,Data Integration execution
INT-07,Data Integration deletion,The associated integration ID.,CloudWorks,INT,INTEGRATION,Data Integration deletion
INT-50,ADO Pipeline created,The associated pipeline ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Pipeline created
INT-51,ADO Pipeline deleted,The associated pipeline ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Pipeline deleted
INT-52,ADO Pipeline updated,The associated pipeline ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Pipeline updated
INT-53,ADO Connection created,The associated connection ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Connection created
INT-54,ADO Connection updated,The associated connection ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Connection updated
INT-55,ADO Connection deleted,The associated connection ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Connection deleted
INT-56,ADO Dataspace created,The associated dataspace ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Dataspace created
INT-57,ADO Dataspace updated,The associated dataspace ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Dataspace updated
INT-58,ADO Dataspace deleted,The associated dataspace ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Dataspace deleted
INT-61,ADO Pipeline started,The associated pipeline ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Pipeline started
INT-62,ADO Pipeline canceled,The associated pipeline ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Pipeline canceled
INT-63,ADO Schedule created,The associated schedule ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Schedule created
INT-64,ADO Schedule updated,The associated schedule ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Schedule updated
INT-65,ADO Schedule deleted,The associated schedule ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO Schedule deleted
INT-66,ADO connection validation attempted,The associated connection ID.,Anaplan Data Orchestrator (ADO),INT,INTEGRATION,ADO connection validation attempted
FRCST-01,Data Collection created - success,The associated integration ID.,Forecaster (replaces legacy PIQ codes),FRCST,FORECASTER,Data Collection created - success
FRCST-02,Data Collection created - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection created - failure
FRCST-03,Data Collection renamed - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection renamed - success
FRCST-04,Data Collection renamed - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection renamed - failure
FRCST-05,Data Collection deleted - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection deleted - success
FRCST-06,Data Collection deleted - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection deleted - failure
FRCST-07,Data Collection reran - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection reran - success
FRCST-08,Data Collection reran - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection reran - failure
FRCST-09,Insights sent - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Insights sent - success
FRCST-10,Insights sent - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Insights sent - failure
FRCST-11,Data Collection bulk deleted - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection bulk deleted - success
