Event Code,Event Message,Associated Object ID,Notes,Parent Code,Parent,Event Name
FRCST-12,Data Collection bulk deleted - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection bulk deleted - failure
FRCST-13,Data Collection bulk deleted - partial success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Data Collection bulk deleted - partial success
FRCST-30,Forecast Model created - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model created - success
FRCST-31,Forecast Model created - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model created - failure
FRCST-32,Forecast Model renamed - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model renamed - success
FRCST-33,Forecast Model renamed - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model renamed - failure
FRCST-34,Forecast Model deleted - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model deleted - success
FRCST-35,Forecast Model deleted - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model deleted - failure
FRCST-36,Forecast Model bulk deleted - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model bulk deleted - success
FRCST-37,Forecast Model bulk deleted - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model bulk deleted - failure
FRCST-38,Forecast Model bulk deleted - partial success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Model bulk deleted - partial success
FRCST-60,Forecast Action created - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action created - success
FRCST-61,Forecast Action created - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action created - failure
FRCST-62,Forecast Action deleted - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action deleted - success
FRCST-63,Forecast Action deleted - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action deleted - failure
FRCST-64,Forecast Action run completed - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action run completed - success
FRCST-65,Forecast Action run completed - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action run completed - failure
FRCST-66,Forecast Action schedule created - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule created - success
FRCST-67,Forecast Action schedule created - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule created - failure
FRCST-68,Forecast Action schedule edited - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule edited - success
FRCST-69,Forecast Action schedule edited - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule edited - failure
FRCST-70,Forecast Action schedule activated - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule activated - success
FRCST-71,Forecast Action schedule activated - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule activated - failure
FRCST-72,Forecast Action schedule deactivated - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule deactivated - success
FRCST-73,Forecast Action schedule deactivated - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action schedule deactivated - failure
FRCST-74,Forecast Action bulk deleted - success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action bulk deleted - success
FRCST-75,Forecast Action bulk deleted - failure,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action bulk deleted - failure
FRCST-76,Forecast Action bulk deleted - partial success,The associated integration ID.,Forecaster,FRCST,FORECASTER,Forecast Action bulk deleted - partial success
PIQ-01,Data Collection created,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Data Collection created
PIQ-02,Changed Data Collection name,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Changed Data Collection name
PIQ-03,Data Collection deleted,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Data Collection deleted
PIQ-04,Rerun Data Collection assembly,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Rerun Data Collection assembly
PIQ-05,Forecast model created,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast model created
PIQ-06,Changed Forecast model name,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Changed Forecast model name
PIQ-07,Forecast model deleted,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast model deleted
PIQ-08,Forecast action created,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast action created
PIQ-09,Forecast action edited,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast action edited
PIQ-10,Changed Forecast action name,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Changed Forecast action name
PIQ-11,Forecast action deleted,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast action deleted
PIQ-12,Forecast action added or changed schedule,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast action added or changed schedule
PIQ-13,Forecast action schedule paused,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast action schedule paused
PIQ-14,Forecast action executed,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,Forecast action executed
PIQ-15,"Backtest imported, forecast model",The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.,PIQ,PLANIQ,"Backtest imported, forecast model"
DSM-071,Create key pair with key,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Create key pair with key
DSM-072,Delete key pair with key,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Delete key pair with key
DSM-229,Add a guardpoint with a policy,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Add a guardpoint with a policy
DSM-231,Add a group guardpoint,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Add a group guardpoint
DSM-235,Update a guardpoint,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Update a guardpoint
DSM-238,Delete a group guardpoint,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Delete a group guardpoint
DSM-239,Create symmetric key with key,The user ID associated with the action.,The same key is used for both encryption and decryption.,DSM,ENCRYPTION ACTIVITY,Create symmetric key with key
DSM-240,Delete symmetric key,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Delete symmetric key
DSM-267,A user logged in,The logged-in user ID.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,A user logged in
DSM-281,Delete an online policy,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Delete an online policy
DSM-405,Assigned roles to a user in the domain,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Assigned roles to a user in the domain
DSM-406,Remove user from domain,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Remove user from domain
DSM-425,Enable user in a domain,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Enable user in a domain
DSM-426,Switch the domain,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Switch the domain
DSM-501,Marked guardpoint pending delete with a policy,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Marked guardpoint pending delete with a policy
DSM-502,Delete a pending guardpoint with a policy,The user ID associated with the action.,Guardpoint event.,DSM,ENCRYPTION ACTIVITY,Delete a pending guardpoint with a policy
DSM-576,Update Key,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Update Key
DSM-674,Create key attribute,The user ID associated with the action.,BYOK encryption activity.,DSM,ENCRYPTION ACTIVITY,Create key attribute
DSM-DAO0071I,Create key pair with key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-071.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0071I
DSM-DAO0072I,Delete key pair with key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-072.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0072I
DSM-DAO0229I,Add a guardpoint with a policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-229.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0229I
DSM-DAO0231I,Add a group guardpoint,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-231.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0231I
DSM-DAO0235I,Update a guardpoint,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-235.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0235I
DSM-DAO0238I,Delete a group guardpoint,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-238.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0238I
DSM-DAO0239I,Create symmetric key with key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-239.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0239I
DSM-DAO0240I,Delete symmetric key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-240.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0240I
DSM-DAO0267I,A user logged in,The logged-in user ID.,BYOK DAO prefix variant of DSM-267.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0267I
DSM-DAO0281I,Delete an online policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-281.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0281I
DSM-DAO0405I,Assigned roles to a user in the domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-405.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0405I
DSM-DAO0406I,Remove user from domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-406.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0406I
DSM-DAO0425I,Enable user in a domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-425.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0425I
DSM-DAO0426I,Switch the domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-426.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0426I
DSM-DAO0501I,Marked guardpoint pending delete with a policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-501.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0501I
DSM-DAO0502I,Delete a pending guardpoint with a policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-502.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0502I
DSM-DAO576I,Update Key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-576.,DSM,ENCRYPTION ACTIVITY,DSM-DAO576I
DSM-DAO0674I,Create key attribute,The user ID associated with the action.,BYOK DAO prefix variant of DSM-674.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0674I
DSM-046,Delete host,The user ID associated with the action.,Host management.,DSM,ENCRYPTION ACTIVITY,Delete host
DSM-048,Update host,The user ID associated with the action.,Host management.,DSM,ENCRYPTION ACTIVITY,Update host
DSM-521,Add a host group,The user ID associated with the action.,Host group management.,DSM,ENCRYPTION ACTIVITY,Add a host group
DSM-531,Delete a host group,The user ID associated with the action.,Host group management.,DSM,ENCRYPTION ACTIVITY,Delete a host group
DSM-DAO0046I,Delete host,The user ID associated with the action.,Host management DAO prefix variant of DSM-046.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0046I
DSM-DAO0048I,Update host,The user ID associated with the action.,Host management DAO prefix variant of DSM-048.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0048I
DSM-DAO0521I,Add a host group,The user ID associated with the action.,Host group DAO prefix variant of DSM-521.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0521I
DSM-DAO0531I,Delete a host group,The user ID associated with the action.,Host group DAO prefix variant of DSM-531.,DSM,ENCRYPTION ACTIVITY,DSM-DAO0531I
WF-100,Task created,The event code.,Workflow task event.,WF,WORKFLOW,Task created
WF-101,Task started,The event code.,Workflow task event.,WF,WORKFLOW,Task started
WF-102,Task completed,The event code.,Workflow task event.,WF,WORKFLOW,Task completed
WF-103,Task opened,The event code.,Workflow task event.,WF,WORKFLOW,Task opened
WF-104,Task cancelled,The event code.,Workflow task event.,WF,WORKFLOW,Task cancelled
WF-105,Page task reassigned,The event code.,Workflow task event.,WF,WORKFLOW,Page task reassigned
WF-106,Task updated,The event code.,Workflow task event.,WF,WORKFLOW,Task updated
WF-107,Task rejected,The event code.,"Workflow task event. Previously documented as ""Task reopened"" in earlier releases.",WF,WORKFLOW,Task rejected
WF-108,Task sent back,The event code.,Workflow task event.,WF,WORKFLOW,Task sent back
WF-109,Task transferred,The event code.,Workflow task event.,WF,WORKFLOW,Task transferred
WF-110,Task sent reminder,The event code.,Workflow task event.,WF,WORKFLOW,Task sent reminder
WF-111,Workflow task event (message pending Anaplan documentation),The event code.,Code present in API responses; message not yet published by Anaplan.,WF,WORKFLOW,Workflow task event (message pending Anaplan documentation)
WF-112,Workflow task event (message pending Anaplan documentation),The event code.,Code present in API responses; message not yet published by Anaplan.,WF,WORKFLOW,WF-112
WF-1000,Workflow template created,The event code.,Workflow template event.,WF,WORKFLOW,Workflow template created
WF-1001,Workflow template published,The event code.,Workflow template event.,WF,WORKFLOW,Workflow template published
WF-1002,Draft version added to workflow template and published,The event code.,Workflow template event.,WF,WORKFLOW,Draft version added to workflow template and published
WF-1003,Workflow template execution started,The event code.,Workflow template event.,WF,WORKFLOW,Workflow template execution started
WF-1004,Workflow template execution cancelled,The event code.,Workflow template event.,WF,WORKFLOW,Workflow template execution cancelled
WF-1005,Workflow template execution resumed,The event code.,Workflow template event.,WF,WORKFLOW,Workflow template execution resumed
WF-1006,Workflow template execution initiated by end user,The event code.,Workflow template event.,WF,WORKFLOW,Workflow template execution initiated by end user
OAUTH-0,OAuth authentication event (description pending Anaplan documentation),N/A,Code present in API responses but message not yet published by Anaplan.,OAUTH,OAUTH,OAUTH-0
OAUTH-1,OAuth authentication event (description pending Anaplan documentation),N/A,Code present in API responses but message not yet published by Anaplan.,OAUTH,OAUTH,OAUTH-1
OAUTH-2,OAuth authentication event (description pending Anaplan documentation),N/A,Code present in API responses but message not yet published by Anaplan.,OAUTH,OAUTH,OAUTH-2
